#{"t_start": 1745259507.7428339, "env_id": "None"}
r,l,t,user_id
7.516002,26,197.057566,1
3.122216,22,197.305807,1
8.468323,43,197.794177,1
9.434017,50,198.375619,1
10.884508,50,198.944618,1
10.710667,50,199.528773,1
12.008583,48,200.083765,1
5.848633,27,200.416248,1
9.200417,50,200.994159,1
9.410088,38,201.438924,1
4.201076,20,201.673713,1
2.037623,6,201.746934,1
8.006647,40,202.213172,1
8.843464,50,202.828284,1
10.95132,50,203.391874,1
5.534428,50,203.930207,1
4.058695,16,204.112204,1
6.713829,50,204.681926,1
6.542742,50,205.242068,1
9.885697,50,205.816553,1
5.133283,19,206.028308,1
4.184745,13,206.176331,1
6.603398,38,206.608451,1
2.900649,24,206.88252,1
13.52117,50,207.448379,1
2.842324,17,207.643938,1
6.324109,49,208.16764,1
12.575669,42,208.631449,1
8.670994,40,209.081043,1
9.427374,50,209.640091,1
3.942486,17,209.846173,1
3.152736,20,210.074959,1
7.82326,50,210.633014,1
10.170977,50,211.202009,1
3.268643,14,211.356001,1
3.033098,9,211.456642,1
7.595804,41,211.928693,1
6.311742,33,212.307774,1
11.582824,50,212.868544,1
11.995587,50,213.433377,1
4.859613,34,213.812752,1
8.470502,50,221.531374,1
3.656923,18,221.730447,1
9.635293,50,222.298146,1
5.484792,17,222.489056,1
7.700677,50,223.025085,1
5.15932,27,223.339054,1
6.445846,24,223.706963,1
7.179028,32,224.087044,1
11.548373,50,224.669647,1
4.362183,27,224.979783,1
8.179295,50,225.557262,1
3.947329,15,225.737177,1
5.772667,37,226.166299,1
10.294525,44,226.675371,1
13.537797,50,227.234107,1
13.059694,50,227.807458,1
8.623804,50,228.36894,1
7.693258,37,228.777019,1
4.131555,15,228.949905,1
2.227933,7,229.034668,1
2.120499,14,229.199046,1
5.831655,31,229.565657,1
3.074183,7,229.650716,1
9.144737,50,230.202189,1
11.456513,50,230.86879,1
3.209989,15,231.080601,1
2.039088,16,231.279896,1
5.382015,24,231.560607,1
11.453222,50,232.122882,1
9.062762,50,232.737459,1
10.872654,50,233.301026,1
3.17447,12,233.440907,1
4.200979,23,233.747395,1
2.523267,6,233.82719,1
5.242661,50,234.370829,1
5.033411,17,234.561246,1
8.945548,50,235.14454,1
8.657382,50,235.722437,1
8.242047,50,236.293815,1
7.626092,30,236.637889,1
8.875504,50,237.20737,1
